Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,Equity,"145,782.35",0.00,"145,782.35","5,495.00",26.53,Canada,New York Stock Exchange Inc.,USD,1.00,--
BBW,BUILD A BEAR WORKSHOP INC,Consumer Discretionary,Equity,"159,617.42",0.00,"159,617.42","4,307.00",37.06,United States,New York Stock Exchange Inc.,USD,1.00,--
BBWI,BATH AND BODY WORKS INC,Consumer Discretionary,Equity,"1,936,444.64",0.01,"1,936,444.64","61,808.00",31.33,United States,New York Stock Exchange Inc.,USD,1.00,--
BBY,BEST BUY INC,Consumer Discretionary,Equity,"5,321,622.22",0.03,"5,321,622.22","58,109.00",91.58,United States,New York Stock Exchange Inc.,USD,1.00,--
BC,BRUNSWICK CORP,Consumer Discretionary,Equity,"1,542,219.84",0.01,"1,542,219.84","19,068.00",80.88,United States,New York Stock Exchange Inc.,USD,1.00,--
BCAL,CALIFORNIA BANCORP,Financials,Equity,"156,520.84",0.00,"156,520.84","9,037.00",17.32,United States,NASDAQ,USD,1.00,--
BCBP,BCB BANCORP INC,Financials,Equity,"76,974.30",0.00,"76,974.30","5,805.00",13.26,United States,NASDAQ,USD,1.00,--
BCC,BOISE CASCADE,Industrials,Equity,"1,551,709.60",0.01,"1,551,709.60","11,056.00",140.35,United States,New York Stock Exchange Inc.,USD,1.00,--
BCML,BAYCOM CORP,Financials,Equity,"171,621.25",0.00,"171,621.25","6,275.00",27.35,United States,NASDAQ,USD,1.00,--
BCO,BRINKS,Industrials,Equity,"1,104,215.28",0.01,"1,104,215.28","11,767.00",93.84,United States,New York Stock Exchange Inc.,USD,1.00,--
BCPC,BALCHEM CORP,Materials,Equity,"1,455,405.42",0.01,"1,455,405.42","8,231.00",176.82,United States,NASDAQ,USD,1.00,--
BCRX,BIOCRYST PHARMACEUTICALS INC,Health Care,Equity,"483,698.70",0.00,"483,698.70","64,926.00",7.45,United States,NASDAQ,USD,1.00,--
BDC,BELDEN INC,Information Technology,Equity,"1,355,170.91",0.01,"1,355,170.91","11,311.00",119.81,United States,New York Stock Exchange Inc.,USD,1.00,--
BDN,BRANDYWINE REALTY TRUST REIT,Real Estate,Equity,"261,203.58",0.00,"261,203.58","50,039.00",5.22,United States,New York Stock Exchange Inc.,USD,1.00,--
BDX,BECTON DICKINSON,Health Care,Equity,"17,804,903.09",0.11,"17,804,903.09","78,377.00",227.17,United States,New York Stock Exchange Inc.,USD,1.00,--
BE,BLOOM ENERGY CLASS A CORP,Industrials,Equity,"694,092.48",0.00,"694,092.48","52,266.00",13.28,United States,New York Stock Exchange Inc.,USD,1.00,--
BEAM,BEAM THERAPEUTICS INC,Health Care,Equity,"563,507.58",0.00,"563,507.58","21,418.00",26.31,United States,NASDAQ,USD,1.00,--
BECN,BEACON ROOFING SUPPLY INC,Industrials,Equity,"1,755,217.65",0.01,"1,755,217.65","17,387.00",100.95,United States,NASDAQ,USD,1.00,--
BELFB,BEL FUSE INC CLASS B,Information Technology,Equity,"211,447.92",0.00,"211,447.92","2,776.00",76.17,United States,NASDAQ,USD,1.00,--
